animal_id	breed_primary_id	breed_secondary	breed_secondary_id	age_group	age_group_id	gender	gender_id	location	location_id	source	source_id	surrender_reason	surrender_reason_id	color_code	color_code_id	Behavior Consult	OK with Dogs	House Trained	Part of a Bonded Pair	Special Fee	No Children	No Cats	No Dogs	Longterm Resident	Employee Pick	Hidden Gem	Medical Consult	Special Needs	OK with Cats	Reduced Fee	Adoption Fee Waived	Consult Required	Training Class Required	intake_date	return	name	breed_primary	date_of_birth	departure	adoption_time
continuous	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	continuous	discrete	continuous	discrete	discrete	discrete	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	time	discrete	string	string	string	string	string
																																				meta	meta	meta	meta	meta
621610.0	6397.0	Shar Pei	4382	Mature Adult	5	Female	2	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Behavior - Aggression That Resulted In A Bite	256	orange	2.0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-07 00:00:00	0	Naomi	Labrador Retriever	2012-09-07	2019-10-02	25
622109.0	6407.0	NULL	NULL	Senior	4	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	No pets allowed	237	purple	3.0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2019-09-09 00:00:00	0	Brew	Rat Terrier	2009-09-09	2019-09-30	21
623471.0	4368.0	NULL	NULL	Mature Adult	5	Female	2	Escondido Campus	64.0	ACO Impound	32.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-14 00:00:00	0	Leela	Miniature Poodle	2018-09-15	2019-09-30	16
623717.0	8221.0	NULL	NULL	Senior	4	Female	2	San Diego Campus - 5500	53.0	Owner Surrender - ACO	85.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-15 00:00:00	0	Mama Dog 	Shepherd	2007-09-15	2019-10-03	18
623974.0	4282.0	NULL	NULL	Adolescent (6-12mos)	2	Female	2	San Diego Campus - 5500	53.0	Returns	23.0	NULL	NULL	orange	2.0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2019-09-22 00:00:00	0	Coco	Bull Terrier	2019-03-16	2019-10-10	18
624274.0	4385.0	Jack Russell Terrier / Parson Russell Terrier	4330	Mature Adult	5	Female	2	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Too many animals already	236	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-27 00:00:00	0	Tiptoe	Shih Tzu	2017-09-17	2019-09-30	3
624470.0	4386.0	NULL	NULL	Adolescent (6-12mos)	2	Female	2	San Diego Campus - 5500	53.0	ACO Impound	32.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-18 00:00:00	0	Derry	Siberian Husky	2019-01-18	2019-09-30	12
624564.0	4287.0	Rat Terrier	6407	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender - ACO	85.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-18 00:00:00	0	Furry	Chihuahua	2013-09-18	2019-10-03	15
624798.0	4252.0	NULL	NULL	Adolescent (6-12mos)	2	Male	1	Escondido Campus	64.0	Owner Surrender	2.0	Barks too much / too vocal	214	orange	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-23 00:00:00	0	Ghost	American Pit Bull Terrier	2018-12-19	2019-10-05	12
624874.0	4374.0	Siberian Husky	4386	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Moving	228	blue	1.0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2019-09-20 00:00:00	0	Lemmy	Rottweiler	2016-09-20	2019-10-06	16
625082.0	6397.0	American Pit Bull Terrier	4252	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	ACO Impound	32.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-21 00:00:00	0	Panini	Labrador Retriever	2015-09-29	2019-10-04	13
625555.0	4256.0	Labrador Retriever	6397	Adolescent (6-12mos)	2	Female	2	Oceanside Campus - Dogs	56.0	Owner Surrender	2.0	Destructive Behavior	263	blue	1.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2019-09-23 00:00:00	0	Leila	Australian Cattle Dog / Blue Heeler	2019-03-23	2019-10-03	10
625636.0	4287.0	Dachshund	4297	Adolescent (6-12mos)	2	Female	2	Oceanside Campus - Dogs	56.0	Stray	14.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-23 00:00:00	0	Jenny	Chihuahua	2019-01-23	2019-10-02	9
625690.0	4313.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Returns	23.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-30 00:00:00	0	Bird-Dawg	German Shepherd	NULL	2019-09-30	0
